Accession,Protein
A0A3Q2HJE2,Ig-like domain-containing protein
A0A3Q2HJF2,AHNAK nucleoprotein
A0A3Q2HJG0,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2
A0A3Q2HJJ4,"Beta-1,4-galactosyltransferase 1"
A0A3Q2HJM2,Synaptophysin like 1
A0A3Q2HJT9,"Proteasome 26S subunit, ATPase 6"
A0A3Q2HJX0,Nuclear factor kappa B subunit 2
A0A3Q2HJY4,Proprotein convertase subtilisin/kexin type 1 inhibitor
A0A3Q2HJY6,RAB GTPase activating protein 1
A0A3Q2HK38,Ig-like domain-containing protein
A0A3Q2HKA3,Adaptor related protein complex 1 subunit beta 1
A0A3Q2HKG1,Glutaredoxin 3
A0A3Q2HKU0,Rac family small GTPase 1
A0A3Q2HKV6,Pleckstrin
A0A3Q2HKW2,A-kinase anchoring protein 13
A0A3Q2HL84,Mitogen-activated protein kinase
A0A3Q2HLB7,Sorting nexin 27
A0A3Q2HLC0,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
A0A3Q2HLR9,ANKH inorganic pyrophosphate transport regulator
A0A3Q2HLS8,Dystonin
A0A3Q2HLV9,Nidogen 2
A0A3Q2HLX0,Folate hydrolase 1B
A0A3Q2HLY5,Hsc70-interacting protein-like protein
A0A3Q2HMF1,Integrin beta
A0A3Q2HMG2,Neuropilin
A0A3Q2HMJ0,26S proteasome AAA-ATPase subunit RPT3
A0A3Q2HMJ3,Ig-like domain-containing protein
A0A3Q2HMS9,ABI family member 3 binding protein
A0A3Q2HN10,Non-specific serine/threonine protein kinase
A0A3Q2HN40,Late endosomal/lysosomal adaptor and MAPK and MTOR activator 1
A0A3Q2HN78,Fructose-bisphosphate aldolase
A0A3Q2HN97,Coatomer subunit beta'
A0A3Q2HND7,Rab GDP dissociation inhibitor
A0A3Q2HNH0,Microfibril associated protein 4
A0A3Q2HNH8,Fibulin-5
A0A3Q2HNI7,Shootin-1
A0A3Q2HP43,Tropomyosin 3
A0A3Q2HP50,Dynactin subunit 2
A0A3Q2HPD6,Tyrosine-protein kinase
A0A3Q2HPF5,EMAP like 4
A0A3Q2HPI8,Heat shock protein family B (small) member 6
A0A3Q2HQ65,Protein kinase C
A0A3Q2HR96,Thymopoietin
A0A3Q2HR99,Solute carrier family 23 member 1
A0A3Q2HRE0,Agrin
A0A3Q2HRL1,Cysteinylglycine-S-conjugate dipeptidase
A0A3Q2HRL2,Cartilage oligomeric matrix protein
A0A3Q2HRN8,Rac family small GTPase 2
A0A3Q2HRP7,Phosphoinositide phospholipase C
A0A3Q2HRQ8,Solute carrier family 29 member 1
A0A3Q2HRW5,RNA helicase
A0A3Q2HRX3,Apolipoprotein B
A0A3Q2HRX4,H(+)-transporting two-sector ATPase
A0A3Q2HT03,"C-1-tetrahydrofolate synthase, cytoplasmic"
A0A3Q2HTB3,Septin
A0A3Q2HTG2,Fibrinogen alpha chain
A0A3Q2HTL6,Myosin XVIIIA
A0A3Q2HTN4,Glucosamine-6-phosphate isomerase
A0A3Q2HU92,Aggrecan
A0A3Q2HUC3,LIM and SH3 domain protein 1
A0A3Q2HUG2,Band 4.1
A0A3Q2HUG6,WD repeat domain 81
A0A3Q2HV72,Glycerol-3-phosphate dehydrogenase [NAD(+)]
A0A3Q2HV80,"Glucose transporter type 1, erythrocyte/brain"
A0A3Q2HVB6,Complement component 4 binding protein alpha
A0A3Q2HVE8,Ubiquitin specific peptidase 24
A0A3Q2HVI8,RNA helicase
A0A3Q2HVP9,Acyl-CoA synthetase long chain family member 4
A0A3Q2HW06,Microtubule-associated protein
A0A3Q2HW24,Joining chain of multimeric IgA and IgM
A0A3Q2HW53,S5 DRBM domain-containing protein
A0A3Q2HWB5,Programmed cell death 6 interacting protein
A0A3Q2HWG5,Vesicle amine transport 1 like
A0A3Q2HWL3,Non-specific serine/threonine protein kinase
A0A3Q2HWP9,15S Mg(2+)-ATPase p97 subunit
A0A3Q2HWQ6,C3-beta-c
A0A3Q2HWQ7,HECT-type E3 ubiquitin transferase
A0A3Q2HX29,Protein XRP2
A0A3Q2HX57,GRIP1 associated protein 1
A0A3Q2HXB2,IQ motif containing GTPase activating protein 1
A0A3Q2HXD5,Vimentin
A0A3Q2HXE5,Aspartate carbamoyltransferase
A0A3Q2HXL6,TATA-box binding protein associated factor 3
A0A3Q2HY64,CYFIP related Rac1 interactor A
A0A3Q2HY77,Chitinase-3-like protein 1
A0A3Q2HYD7,26S proteasome non-ATPase regulatory subunit 4
A0A3Q2HYR4,Ectonucleotide pyrophosphatase/phosphodiesterase 2
A0A3Q2HYS1,Ubiquitin specific peptidase 25
A0A3Q2HZD2,"Aconitate hydratase, mitochondrial"
A0A3Q2HZL9,Cytoplasmic linker associated protein 2
A0A3Q2I008,Ras-related protein Rap-2
A0A3Q2I060,Flotillin
A0A3Q2I0A5,Actinin alpha 1
A0A3Q2I0E0,Ras-related protein Rab-14
A0A3Q2I0F0,Dihydropyrimidinase
A0A3Q2I0U1,CB1 cannabinoid receptor-interacting protein 1
A0A3Q2I0X0,Uroporphyrinogen decarboxylase
A0A3Q2I117,Profilin
A0A3Q2I131,Protein-tyrosine-phosphatase
A0A3Q2I170,T cell immunoglobulin and mucin domain containing 4
A0A3Q2I192,Formin like 1
A0A3Q2I196,Pyruvate kinase
A0A3Q2I1G9,COP9 signalosome complex subunit 4
A0A3Q2I1M9,Poly(A) binding protein cytoplasmic 1
A0A3Q2I1N3,Parvin alpha
A0A3Q2I1T1,Actinin alpha 2
A0A3Q2I1Y0,Pleckstrin homology domain containing O2
A0A3Q2I257,Signal transducer and activator of transcription
A0A3Q2I2E9,Albumin
A0A3Q2I2H1,Ig-like domain-containing protein
A0A3Q2I2V3,Cathepsin D
A0A3Q2I334,Superoxide dismutase [Cu-Zn]
A0A3Q2I386,Thymidine phosphorylase
A0A3Q2I388,Arp2/3 complex 34 kDa subunit
A0A3Q2I3N3,Collagen type IV alpha 2 chain
A0A3Q2I424,Complement C1q C chain
A0A3Q2I427,Leucine rich alpha-2-glycoprotein 1
A0A3Q2I4N2,Family with sequence similarity 171 member B
A0A3Q2I4S4,Complement C7
A0A3Q2I4T2,"Alpha-1,4 glucan phosphorylase"
A0A3Q2I4V6,Annexin
A0A3Q2I4Y4,Cytoglobin
A0A3Q2I526,Rab3 GTPase-activating protein catalytic subunit
A0A3Q2I544,60S ribosomal protein L14
A0A3Q2I5K2,Myristoylated alanine rich protein kinase C substrate
A0A3Q2I5P8,"4-hydroxybenzoate polyprenyltransferase, mitochondrial"
A0A3Q2I5S8,Actinin alpha 4
A0A3Q2I630,Heterogeneous nuclear ribonucleoprotein C
A0A3Q2I6B9,Eukaryotic translation initiation factor 3 subunit I
A0A3Q2I6E8,Catalase
A0A3Q2I6L9,Calcium voltage-gated channel auxiliary subunit alpha2delta 1
A0A3Q2I6R8,Anthrax toxin receptor
A0A3Q2I6Z1,2-phospho-D-glycerate hydro-lyase
A0A3Q2I6Z2,Alanine--tRNA ligase
A0A3Q2I7A4,14 kDa phosphohistidine phosphatase
A0A3Q2I7D4,Actin filament associated protein 1 like 2
A0A3Q2I7F3,Hyaluronan synthase 1
A0A3Q2I803,PDZ and LIM domain 5
A0A3Q2I854,IF rod domain-containing protein
A0A3Q2I892,ERGIC and golgi 3
A0A3Q2I8C4,Sperm associated antigen 9
A0A3Q2I8G7,Prostaglandin F2 receptor inhibitor
A0A3Q2I8H8,Galectin-3-binding protein
A0A3Q2I8Y6,"Alpha-2-glycoprotein 1, zinc-binding"
A0A3Q2I903,Eukaryotic translation initiation factor 3 subunit L
A0A3Q2I980,STEAP3 metalloreductase
A0A3Q2I997,Guanine nucleotide-binding protein subunit gamma
A0A3Q2I9F2,Protein FAM3C
A0A3Q2I9F9,Eukaryotic translation initiation factor 3 subunit M
A0A3Q2I9I4,X-prolyl aminopeptidase 1
A0A3Q2I9K4,Solute carrier family 12 member 7
A0A3Q2I9U3,Calpain 5
A0A3Q2IA26,Ankyrin repeat domain 44
A0A3Q2IA43,Ribosomal protein L7
A0A3Q2IAH1,WD repeat domain 1
A0A3Q2IAI3,Fascin actin-bundling protein 1
A0A3Q2IAJ9,GNAS complex locus
A0A3Q2IAN7,WASH complex subunit 4
A0A3Q2IAQ8,Plexin B2
A0A3Q2IAS8,CD2 associated protein
A0A3Q2IAU4,Engulfment and cell motility 1
A0A3Q2IAW4,GTPase IMAP family member 5
A0A3Q2IAY9,Histone H4
A0A3Q2IB34,Phosphatidylinositol binding clathrin assembly protein
A0A3Q2IBF3,UV excision repair protein RAD23
A0A3Q2IBJ8,C-type lectin domain containing 11A
A0A3Q2IC53,Oxysterol-binding protein
A0A3Q2IC79,Early endosome antigen 1
A0A3Q2ICE5,Leucyl and cystinyl aminopeptidase
A0A3Q2ICY6,Cytochrome b-245 beta chain
A0A3Q2ID58,Histone H2B
A0A3Q2ID60,Afamin
A0A3Q2ID61,Non-specific serine/threonine protein kinase
A0A3Q2IDD0,Notch receptor 2
A0A3Q2IDD2,C3/C5 convertase
A0A3Q2IDL5,Integrin beta
A0A3Q2IDM7,Clathrin light chain
A0A3Q2IEU7,LDL receptor related protein 1
A0A3Q2IF34,ATP binding cassette subfamily C member 5
A0A3Q2IFM4,Proteasome activator subunit 1
A0A3Q2IJI8,ADP ribosylation factor 3
A0A3Q2KKM2,Mannose receptor C-type 1
A0A3Q2KM06,Collagen type VI alpha 1 chain
A0A3Q2KN19,Nucleobindin-1
A0A3Q2KNT2,Dynactin subunit 1
A0A3Q2KPL5,Bridging integrator 1
A0A3Q2KR10,Glutamine--fructose-6-phosphate transaminase (isomerizing)
A0A3Q2KRL5,"RAB1A, member RAS oncogene family"
A0A3Q2KS36,Adseverin
A0A3Q2KSC6,Myosin VA
A0A3Q2KSQ1,Rho GTPase activating protein 12
A0A3Q2KSQ5,Cysteine rich protein 1
A0A3Q2KSS6,Moesin
A0A3Q2KSV4,Glycoprotein nmb
A0A3Q2KTE7,26S proteasome AAA-ATPase subunit RPT1
A0A3Q2KTL8,T1-TrpRS
A0A3Q2KU08,40S ribosomal protein S12
A0A3Q2KUV4,1-alkyl-2-acetylglycerophosphocholine esterase
A0A3Q2KV13,RBR-type E3 ubiquitin transferase
A0A3Q2KVZ1,Neuroplastin
A0A3Q2KWF3,"Acid phosphatase 2, lysosomal"
A0A3Q2KX04,HtrA serine peptidase 1
A0A3Q2KXP3,Calcium-activated neutral proteinase small subunit
A0A3Q2KZJ6,Retinal dehydrogenase 1
A0A3Q2KZM7,Protein transport protein SEC23
A0A3Q2L095,Non-specific serine/threonine protein kinase
A0A3Q2L1H9,KN motif and ankyrin repeat domains 2
A0A3Q2L2J8,Guanine nucleotide-binding protein subunit gamma
A0A3Q2L2R4,Alpha-1-acid glycoprotein 2
A0A3Q2L2W1,N-acetylneuraminate synthase
A0A3Q2L321,Coatomer subunit beta
A0A3Q2L329,Lys-63-specific deubiquitinase
A0A3Q2L384,Coiled-coil domain containing 88A
A0A3Q2L3I5,Signal transducer and activator of transcription
A0A3Q2L425,Adipocyte-type fatty acid-binding protein
A0A3Q2L588,AIG1-type G domain-containing protein
A0A3Q2L5E0,IF rod domain-containing protein
A0A3Q2L5K2,WD repeat-containing protein 91
A0A3Q2L6P4,Dedicator of cytokinesis 1
A0A3Q2L7M2,Phosphoinositide-3-kinase adaptor protein 1
A0A3Q2L7R0,Plasminogen
A0A3Q2L7X0,Proteasome subunit alpha type
A0A3Q2L7X8,Alpha-mannosidase
A0A3Q2L810,Exocyst complex component 2
A0A3Q2L870,Receptor protein-tyrosine kinase
A0A3Q2L9H8,Signal transducer and activator of transcription
A0A3Q2LAH2,"2,3-bisphosphoglycerate 3-phosphatase"
A0A3Q2LBD1,Complement component 8 subunit beta
A0A3Q2LBE4,Insulin like growth factor binding protein acid labile subunit
A0A3Q2LBP6,Adipsin
A0A3Q2LCW0,"Keratin, type II cuticular Hb5"
A0A3Q2LCZ6,Adenosylhomocysteinase like 1
A0A3Q2LDC2,Inorganic diphosphatase
A0A3Q2LDF3,Tenascin C
A0A3Q2LDG0,Protein-tyrosine-phosphatase
A0A3Q2LDH0,Osteonectin
A0A3Q2LDP0,40S ribosomal protein S7
A0A3Q2LEQ7,Acidic nuclear phosphoprotein 32 family member A
A0A3Q2LEY7,CSD domain-containing protein
A0A3Q2LFC7,Perilipin 4
A0A3Q2LG18,Adducin 3
A0A3Q2LHT8,"Aspartate--tRNA ligase, cytoplasmic"
A0A3Q2LJK9,L-lactate dehydrogenase
A0A3Q2LJW8,Xanthine dehydrogenase
A0A3Q2LKR5,L-lactate dehydrogenase
A0A3Q2LLA7,AP-3 complex subunit beta
A0A3Q2LMN3,Serine/threonine-protein phosphatase 2A activator
A0A3Q2LMR5,Copine 3
A0A3Q2LMX0,Erythrocyte membrane protein band 4.1 like 2
A0A3Q2LNC5,Tetraspanin
A0A3Q2LNJ4,Vesicle-fusing ATPase
A0A3Q2LPC6,Phospholipase
A0A3Q2LPE6,Annexin
A0A3Q2LQ80,Peroxiredoxin 4
A0A3Q2LQH7,G protein subunit beta 1
A0A3Q2LQR0,Oxysterol-binding protein
A0A3Q2LRH6,Glutamate dehydrogenase (NAD(P)(+))
A0A3Q2LSB2,Glutamyl-tRNA synthetase
A0A3Q2LT24,CASK interacting protein 2
A0A5F5PEE6,Apolipoprotein E
A0A5F5PEF5,"Diazepam binding inhibitor, acyl-CoA binding protein"
A0A5F5PEG5,Alpha-1-microglobulin
A0A5F5PEK8,Bridging integrator 2
A0A5F5PF14,Brain abundant membrane attached signal protein 1
A0A5F5PF23,Transaldolase
A0A5F5PF63,Lymphocyte specific protein 1
A0A5F5PF66,"Myosin light chain, phosphorylatable, fast skeletal muscle"
A0A5F5PG01,"Spectrin alpha, non-erythrocytic 1"
A0A5F5PG05,Integrin beta
A0A5F5PG69,Filamin C
A0A5F5PGA8,Nuclear autoantigenic sperm protein
A0A5F5PGC3,Adenosine kinase
A0A5F5PGY6,Complement component C6
A0A5F5PH20,Structural maintenance of chromosomes flexible hinge domain containing 1
A0A5F5PHH1,Tyrosine-protein kinase
A0A5F5PI45,"HLA class I histocompatibility antigen, B-15 alpha chain"
A0A5F5PI54,L-type amino acid transporter 4
A0A5F5PI91,Phosphoglucomutase 1
A0A5F5PIA9,Complement factor H-like
A0A5F5PIB7,Collagen type II alpha 1 chain
A0A5F5PII4,Ubiquitin conjugating enzyme E2 N
A0A5F5PIJ7,Integrin subunit alpha 5
A0A5F5PJ03,"Prothymosin, alpha"
A0A5F5PJ10,Drebrin like
A0A5F5PK83,Calcium-activated neutral proteinase 2
A0A5F5PKD7,Protein phosphatase 2 scaffold subunit Aalpha
A0A5F5PKI2,PH domain and leucine rich repeat protein phosphatase 2
A0A5F5PL31,Tropomyosin 1
A0A5F5PL33,Lysine--tRNA ligase
A0A5F5PL54,EGF containing fibulin extracellular matrix protein 2
A0A5F5PLA5,Amine oxidase
A0A5F5PLG8,Basic leucine zipper and W2 domains 1
A0A5F5PLH1,Synaptobrevin-2
A0A5F5PLR4,"2',3'-cyclic-nucleotide 3'-phosphodiesterase"
A0A5F5PLV2,Carboxypeptidase B2
A0A5F5PM23,Kallikrein B1
A0A5F5PMH5,U2AF homology motif kinase 1
A0A5F5PMZ1,DUF1394 domain-containing protein
A0A5F5PN84,Uncharacterized protein
A0A5F5PNE7,ATP binding cassette subfamily F member 2
A0A5F5PNF9,Serine/arginine-rich splicing factor 1
A0A5F5PNN6,Sorting nexin-1
A0A5F5PNV1,Glutathione transferase
A0A5F5PP59,Myosin heavy chain 7
A0A5F5PP70,Annexin
A0A5F5PPA5,Beta-1 metal-binding globulin
A0A5F5PPB8,Fibrinogen gamma chain
A0A5F5PQ67,Isoleucyl-tRNA synthetase
A0A5F5PQA2,Apolipoprotein C-IV
A0A5F5PQE5,Plectin
A0A5F5PQK4,C-type lectin domain family 4 member G
A0A5F5PQQ6,Calcium-activated neutral proteinase 1
A0A5F5PQS3,Complement C8 alpha chain
A0A5F5PR26,Malate dehydrogenase
A0A5F5PR55,Actin-related protein 2/3 complex subunit 4
A0A5F5PRK4,Protein phosphatase 6 regulatory subunit 1
A0A5F5PRS7,Actin related protein 2/3 complex subunit 1B
A0A5F5PRZ7,Collagen type V alpha 1 chain
A0A5F5PS26,UTP--glucose-1-phosphate uridylyltransferase
A0A5F5PSE4,AP-2 complex subunit alpha
A0A5F5PSN9,Ig-like domain-containing protein
A0A5F5PSR4,Titin
A0A5F5PSR8,Alpha-1-antiproteinase 2-like
A0A5F5PST7,Glutathione peroxidase
A0A5F5PT31,Follistatin-like protein 1
A0A5F5PT94,Uncharacterized protein
A0A5F5PTP6,Collagen type VI alpha 3 chain
A0A5F5PTR6,Ig-like domain-containing protein
A0A5F5PTY4,Creatine kinase
A0A5F5PTY9,Carnosine synthase 1
A0A5F5PU06,Alpha-2-macroglobulin
A0A5F5PUE2,Bradykinin
A0A5F5PUL5,Guanine nucleotide-binding protein subunit gamma
A0A5F5PUR0,Integrin subunit alpha 6
A0A5F5PUT8,Isocitrate dehydrogenase [NADP]
A0A5F5PUU0,Anaphylatoxin-like domain-containing protein
A0A5F5PUZ3,Tetratricopeptide repeat domain 7A
A0A5F5PV63,Interferon induced protein 44
A0A5F5PV82,40S ribosomal protein S15
A0A5F5PVA4,Filamin B
A0A5F5PVB7,Serum amyloid A protein
A0A5F5PVI1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase
A0A5F5PVK6,Versican
A0A5F5PVZ6,Ig-like domain-containing protein
A0A5F5PW07,RNA helicase
A0A5F5PW11,26S proteasome non-ATPase regulatory subunit 6
A0A5F5PW18,Serpin family F member 2
A0A5F5PWB4,Tyrosine-protein phosphatase non-receptor type
A0A5F5PWX5,Uncharacterized protein
A0A5F5PWY1,Fetuin B
A0A5F5PXB8,Uncharacterized protein
A0A5F5PXF2,Low affinity immunoglobulin gamma Fc region receptor III
A0A5F5PXG7,Parathymosin
A0A5F5PXU2,Scribble planar cell polarity protein
A0A5F5PYK0,GRAM domain containing 4
A0A5F5PYS6,40S ribosomal protein S27
A0A5F5PYS7,Cytokeratin-1
A0A5F5PZ47,Ribonuclease A family member 4
A0A5F5PZQ9,Calcium-transporting ATPase
A0A5F5PZW1,Myosin regulatory light polypeptide 9
A0A5F5PZX4,Attractin
A0A5F5Q0B3,Eukaryotic translation elongation factor 2
A0A5F5Q0V5,WAS/WASL interacting protein family member 1
A0A5F5Q0V8,Alpha-2-HS-glycoprotein
A0A5F5Q1G3,Heparan sulfate proteoglycan 2
A0A5F5Q220,Junction plakoglobin
A0A5F5Q281,Collagen type I alpha 1 chain
A0A5F5Q2I3,"Tumor protein, translationally-controlled 1"
A0A5F5Q2W2,Proteasome subunit alpha type
A0A5F5Q3H4,WASP actin nucleation promoting factor
A0A5F5Q3Z0,FACT complex subunit SSRP1
A0A5F5Q4D2,Serpin family A member 10
A0A5K1VP18,Ribosomal protein L5
A2Q0Z0,Elongation factor 1-alpha 1
A2Q0Z1,Heat shock cognate 71 kDa protein
A2Q127,Elongation factor 1-gamma
A5JST8,Basigin
B9A9U9,"Alpha-1,4 glucan phosphorylase"
E7D103,Actinin alpha 3
F6PH38,Fibrinogen beta chain
F6PHS4,Peptidylprolyl isomerase
F6PI70,Ig-like domain-containing protein
F6PJE1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase"
F6PJF0,Chromobox 3
F6PKW7,Syntrophin beta 2
F6PN89,Talin 1
F6PNU9,ADP-ribosylation factor 6
F6PPE5,"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1"
F6PPQ0,C3/C5 convertase
F6PQ46,Ceruloplasmin
F6PQD3,40S ribosomal protein S17
F6PQT9,Voltage-dependent anion-selective channel protein 1
F6PRU6,Myosin IF
F6PUI6,Dedicator of cytokinesis 11
F6PUW3,Maltase-glucoamylase
F6PVG3,EGF containing fibulin extracellular matrix protein 1
F6PVJ6,Mimecan
F6PWC8,15-oxoprostaglandin 13-reductase
