GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
RNAcentral	URS000001C659_9606	Homo sapiens (human) hsa-miR-135b-5p	acts_upstream_of	GO:0010629	negative regulation of gene expression	ECO:0000314	IDA	PMID:23594704		9606	ARUK-UCL	has_input(UniProtKB:P04637)	P
RNAcentral	URS000001C659_9606	Homo sapiens (human) hsa-miR-135b-5p	enables	GO:0003730	mRNA 3'-UTR binding	ECO:0000314	IDA	PMID:23594704		9606	ARUK-UCL	has_input(UniProtKB:Q13362),part_of(GO:0035195)	F
RNAcentral	URS000001C659_9606	Homo sapiens (human) hsa-miR-135b-5p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:23594704		9606	ARUK-UCL	has_input(UniProtKB:Q13362)	F
RNAcentral	URS000001C659_9606	Homo sapiens (human) hsa-miR-135b-5p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:23594704		9606	ARUK-UCL	has_input(UniProtKB:Q13362)	P
RNAcentral	URS00000254A6_9606	Homo sapiens (human) hsa-miR-338-3p	acts_upstream_of	GO:0030336	negative regulation of cell migration	ECO:0000314	IDA	PMID:26617808		9606	ARUK-UCL		P
RNAcentral	URS00000254A6_9606	Homo sapiens (human) hsa-miR-338-3p	enables	GO:0003730	mRNA 3'-UTR binding	ECO:0000314	IDA	PMID:26617808		9606	ARUK-UCL	part_of(GO:0035195),has_input(UniProtKB:P78536)	F
RNAcentral	URS00000254A6_9606	Homo sapiens (human) hsa-miR-338-3p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:21671467		9606	ARUK-UCL	has_input(UniProtKB:Q99835)	F
RNAcentral	URS00000254A6_9606	Homo sapiens (human) hsa-miR-338-3p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:26617808		9606	ARUK-UCL	has_input(UniProtKB:P78536)	F
RNAcentral	URS00000254A6_9606	Homo sapiens (human) hsa-miR-338-3p	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000314	IDA	PMID:21671467		9606	ARUK-UCL	has_input(UniProtKB:P14780)	P
RNAcentral	URS00000254A6_9606	Homo sapiens (human) hsa-miR-338-3p	involved_in	GO:0030336	negative regulation of cell migration	ECO:0000314	IDA	PMID:21671467		9606	ARUK-UCL		P
RNAcentral	URS00000254A6_9606	Homo sapiens (human) hsa-miR-338-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:21671467		9606	ARUK-UCL	has_input(UniProtKB:Q99835),negatively_regulates(GO:0016477)	P
RNAcentral	URS00000254A6_9606	Homo sapiens (human) hsa-miR-338-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:26617808		9606	ARUK-UCL	causally_upstream_of(GO:0030336),has_input(UniProtKB:P78536)	P
RNAcentral	URS0000028BB8_9606	Homo sapiens (human) hsa-miR-132-5p	involved_in	GO:0010575	positive regulation of vascular endothelial growth factor production	ECO:0000250	ISS	GO_REF:0000024	RNAcentral:URS0000028BB8_10116	9606	ARUK-UCL	part_of(GO:1900408)	P
RNAcentral	URS0000028BB8_9606	Homo sapiens (human) hsa-miR-132-5p	involved_in	GO:0031393	negative regulation of prostaglandin biosynthetic process	ECO:0000250	ISS	GO_REF:0000024	RNAcentral:URS0000028BB8_10116	9606	ARUK-UCL	part_of(GO:1900408)	P
RNAcentral	URS0000028BB8_9606	Homo sapiens (human) hsa-miR-132-5p	involved_in	GO:0032691	negative regulation of interleukin-1 beta production	ECO:0000250	ISS	GO_REF:0000024	RNAcentral:URS0000028BB8_10116	9606	ARUK-UCL	part_of(GO:1900408)	P
RNAcentral	URS0000028BB8_9606	Homo sapiens (human) hsa-miR-132-5p	involved_in	GO:0032715	negative regulation of interleukin-6 production	ECO:0000250	ISS	GO_REF:0000024	RNAcentral:URS0000028BB8_10116	9606	ARUK-UCL	part_of(GO:1900408)	P
RNAcentral	URS0000028BB8_9606	Homo sapiens (human) hsa-miR-132-5p	involved_in	GO:0032717	negative regulation of interleukin-8 production	ECO:0000250	ISS	GO_REF:0000024	RNAcentral:URS0000028BB8_10116	9606	ARUK-UCL	part_of(GO:1900408)	P
RNAcentral	URS0000028BB8_9606	Homo sapiens (human) hsa-miR-132-5p	involved_in	GO:0032720	negative regulation of tumor necrosis factor production	ECO:0000250	ISS	GO_REF:0000024	RNAcentral:URS0000028BB8_10116	9606	ARUK-UCL	part_of(GO:1900408)	P
RNAcentral	URS0000028BB8_9606	Homo sapiens (human) hsa-miR-132-5p	involved_in	GO:0051771	negative regulation of nitric-oxide synthase biosynthetic process	ECO:0000250	ISS	GO_REF:0000024	RNAcentral:URS0000028BB8_10116	9606	ARUK-UCL	part_of(GO:1900408)	P
RNAcentral	URS0000028BB8_9606	Homo sapiens (human) hsa-miR-132-5p	involved_in	GO:1900408	negative regulation of cellular response to oxidative stress	ECO:0000250	ISS	GO_REF:0000024	RNAcentral:URS0000028BB8_10116	9606	ARUK-UCL		P
RNAcentral	URS0000028BB8_9606	Homo sapiens (human) hsa-miR-132-5p	involved_in	GO:1901223	negative regulation of NIK/NF-kappaB signaling	ECO:0000250	ISS	GO_REF:0000024	RNAcentral:URS0000028BB8_10116	9606	ARUK-UCL	part_of(GO:1900408)	P
RNAcentral	URS0000028BB8_9606	Homo sapiens (human) hsa-miR-132-5p	involved_in	GO:2001243	negative regulation of intrinsic apoptotic signaling pathway	ECO:0000250	ISS	GO_REF:0000024	RNAcentral:URS0000028BB8_10116	9606	ARUK-UCL	part_of(GO:1900408)	P
RNAcentral	URS000003575B_9606	Homo sapiens (human) hsa-miR-483-5p	acts_upstream_of	GO:0001933	negative regulation of protein phosphorylation	ECO:0000314	IDA	PMID:33915734		9606	ARUK-UCL	has_input(UniProtKB:P10636)	P
RNAcentral	URS000003575B_9606	Homo sapiens (human) hsa-miR-483-5p	enables	GO:0003730	mRNA 3'-UTR binding	ECO:0000314	IDA	PMID:33915734		9606	ARUK-UCL	part_of(GO:0035195),has_input(UniProtKB:P27361)	F
RNAcentral	URS000003575B_9606	Homo sapiens (human) hsa-miR-483-5p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:33915734		9606	ARUK-UCL	has_input(UniProtKB:P27361)	F
RNAcentral	URS000003575B_9606	Homo sapiens (human) hsa-miR-483-5p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:33915734		9606	ARUK-UCL	has_input(UniProtKB:P27361)	P
RNAcentral	URS000003E1A9_9606	Homo sapiens (human) hsa-miR-141-3p	acts_upstream_of	GO:0045071	negative regulation of viral genome replication	ECO:0000314	IDA	PMID:22479552		9606	ARUK-UCL		P
RNAcentral	URS000003E1A9_9606	Homo sapiens (human) hsa-miR-141-3p	enables	GO:0003730	mRNA 3'-UTR binding	ECO:0000314	IDA	PMID:22479552		9606	ARUK-UCL	has_input(UniProtKB:Q07869),part_of(GO:0035195)	F
RNAcentral	URS000003E1A9_9606	Homo sapiens (human) hsa-miR-141-3p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:22479552		9606	ARUK-UCL	has_input(UniProtKB:Q07869)	F
RNAcentral	URS000003E1A9_9606	Homo sapiens (human) hsa-miR-141-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:22479552		9606	ARUK-UCL	has_input(UniProtKB:Q07869)	P
RNAcentral	URS000003E1A9_9606	Homo sapiens (human) hsa-miR-141-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000316	IGI	PMID:28008308	RNAcentral:URS000008DA94_10090	9606	ARUK-UCL	has_input(UniProtKB:P60484)	P
RNAcentral	URS000003FD55_9606	Homo sapiens (human) hsa-miR-339-5p	acts_upstream_of	GO:1902430	negative regulation of amyloid-beta formation	ECO:0000314	IDA	PMID:24352696		9606	ARUK-UCL	occurs_in(UBERON:0006238),has_output(UniProtKB:P05067:PRO_0000000092)|occurs_in(UBERON:0006238),has_output(UniProtKB:P05067:PRO_0000000093)	P
RNAcentral	URS000003FD55_9606	Homo sapiens (human) hsa-miR-339-5p	enables	GO:0003730	mRNA 3'-UTR binding	ECO:0000314	IDA	PMID:24352696		9606	ARUK-UCL	part_of(GO:0035195),causally_upstream_of(GO:1902430),part_of(GO:0010951),has_input(UniProtKB:P56817),occurs_in(UBERON:0006238)	F
RNAcentral	URS000003FD55_9606	Homo sapiens (human) hsa-miR-339-5p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:24352696		9606	ARUK-UCL	causally_upstream_of(GO:1902430),part_of(GO:0010951),has_input(UniProtKB:P56817),occurs_in(UBERON:0006238)	F
RNAcentral	URS000003FD55_9606	Homo sapiens (human) hsa-miR-339-5p	involved_in	GO:0010951	negative regulation of endopeptidase activity	ECO:0000314	IDA	PMID:24352696		9606	ARUK-UCL	has_input(UniProtKB:P56817),causally_upstream_of(GO:1902430)	P
RNAcentral	URS000003FD55_9606	Homo sapiens (human) hsa-miR-339-5p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:24352696		9606	ARUK-UCL	causally_upstream_of(GO:1902430),part_of(GO:0010951),has_input(UniProtKB:P56817),occurs_in(UBERON:0006238)	P
RNAcentral	URS00000451A1_9606	Homo sapiens (human) hsa-miR-378a-3p	acts_upstream_of	GO:0008285	negative regulation of cell population proliferation	ECO:0000314	IDA	PMID:31824476		9606	ARUK-UCL	occurs_in(CL:0002563)	P
RNAcentral	URS00000451A1_9606	Homo sapiens (human) hsa-miR-378a-3p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:31824476		9606	ARUK-UCL	has_input(UniProtKB:O95760)	F
RNAcentral	URS00000451A1_9606	Homo sapiens (human) hsa-miR-378a-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:31824476		9606	ARUK-UCL	has_input(UniProtKB:O95760),part_of(GO:0150128)	P
RNAcentral	URS00000451A1_9606	Homo sapiens (human) hsa-miR-378a-3p	involved_in	GO:0150128	negative regulation of interleukin-33 production	ECO:0000314	IDA	PMID:31824476		9606	ARUK-UCL		P
RNAcentral	URS00000451A1_9606	Homo sapiens (human) hsa-miR-378a-3p	involved_in	GO:1900016	negative regulation of cytokine production involved in inflammatory response	ECO:0000314	IDA	PMID:31824476		9606	ARUK-UCL	has_input(UniProtKB:O95760)	P
RNAcentral	URS000005A8ED_9606	Homo sapiens (human) hsa-miR-495-3p	acts_upstream_of	GO:1905700	negative regulation of xenobiotic detoxification by transmembrane export across the plasma membrane	ECO:0000315	IMP	PMID:28411377		9606	ARUK-UCL		P
RNAcentral	URS000005A8ED_9606	Homo sapiens (human) hsa-miR-495-3p	enables	GO:0003730	mRNA 3'-UTR binding	ECO:0000314	IDA	PMID:28411377		9606	ARUK-UCL	has_input(UniProtKB:P08183),part_of(GO:0035278)	F
RNAcentral	URS000005A8ED_9606	Homo sapiens (human) hsa-miR-495-3p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:28411377		9606	ARUK-UCL	has_input(UniProtKB:P08183)	F
RNAcentral	URS000005A8ED_9606	Homo sapiens (human) hsa-miR-495-3p	involved_in	GO:0032410	negative regulation of transporter activity	ECO:0000315	IMP	PMID:28411377		9606	ARUK-UCL	has_input(UniProtKB:P08183),causally_upstream_of(GO:1905700)	P
RNAcentral	URS000005A8ED_9606	Homo sapiens (human) hsa-miR-495-3p	involved_in	GO:0035278	miRNA-mediated gene silencing by inhibition of translation	ECO:0000314	IDA	PMID:28411377		9606	ARUK-UCL	has_input(UniProtKB:P08183),part_of(GO:0032410),causally_upstream_of(GO:1905700)	P
RNAcentral	URS000005CE28_9606	Homo sapiens (human) hsa-miR-4638-5p	part_of	GO:1903561	extracellular vesicle	ECO:0007005	HDA	PMID:28798470		9606	ARUK-UCL	produced_by(CL:0000182),existence_overlaps(GO:0098586)	C
RNAcentral	URS000005CF5F_9606	Homo sapiens (human) hsa-miR-30d-5p	part_of	GO:0070062	extracellular exosome	ECO:0000314	IDA	PMID:31926946		9606	ARUK-UCL	produced_by(CL:0000235)	C
RNAcentral	URS000005CF5F_9606	Homo sapiens (human) hsa-miR-30d-5p	part_of	GO:1903561	extracellular vesicle	ECO:0007005	HDA	PMID:28798470		9606	ARUK-UCL	produced_by(CL:0000182),existence_overlaps(GO:0098586)	C
RNAcentral	URS0000064063_9606	Homo sapiens (human) hsa-miR-3156-5p	part_of	GO:0070062	extracellular exosome	ECO:0000314	IDA	PMID:31926946		9606	ARUK-UCL	produced_by(CL:0000235)	C
RNAcentral	URS0000065D58_9606	Homo sapiens (human) hsa-miR-30a-3p	enables	GO:0003730	mRNA 3'-UTR binding	ECO:0000314	IDA	PMID:31678166		9606	ARUK-UCL	part_of(GO:0035195),has_input(UniProtKB:P17302)	F
RNAcentral	URS0000065D58_9606	Homo sapiens (human) hsa-miR-30a-3p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:31678166		9606	ARUK-UCL	has_input(UniProtKB:P17302)	F
RNAcentral	URS0000065D58_9606	Homo sapiens (human) hsa-miR-30a-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:31678166		9606	ARUK-UCL	has_input(UniProtKB:P17302)	P
RNAcentral	URS0000068B85_9606	Homo sapiens (human) hsa-miR-153-3p	enables	GO:0003730	mRNA 3'-UTR binding	ECO:0000314	IDA	PMID:21982160		9606	ARUK-UCL	part_of(GO:0035195),part_of(GO:0042985),has_input(UniProtKB:P05067)	F
RNAcentral	URS0000068B85_9606	Homo sapiens (human) hsa-miR-153-3p	enables	GO:0003730	mRNA 3'-UTR binding	ECO:0000314	IDA	PMID:22733824		9606	ARUK-UCL	part_of(GO:0035195),has_input(UniProtKB:P05067),occurs_in(UBERON:0000955)	F
RNAcentral	URS0000068B85_9606	Homo sapiens (human) hsa-miR-153-3p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:21982160		9606	ARUK-UCL	has_input(UniProtKB:P05067),part_of(GO:0042985)	F
RNAcentral	URS0000068B85_9606	Homo sapiens (human) hsa-miR-153-3p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:22733824		9606	ARUK-UCL	has_input(UniProtKB:P05067),occurs_in(UBERON:0000955)	F
RNAcentral	URS0000068B85_9606	Homo sapiens (human) hsa-miR-153-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:21982160		9606	ARUK-UCL	part_of(GO:0042985),has_input(UniProtKB:P05067)	P
RNAcentral	URS0000068B85_9606	Homo sapiens (human) hsa-miR-153-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:22733824		9606	ARUK-UCL	has_input(UniProtKB:P05067),occurs_in(UBERON:0000955)	P
RNAcentral	URS0000068B85_9606	Homo sapiens (human) hsa-miR-153-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:22733824		9606	ARUK-UCL	has_input(UniProtKB:Q06481),occurs_in(UBERON:0000955)	P
RNAcentral	URS0000068B85_9606	Homo sapiens (human) hsa-miR-153-3p	involved_in	GO:0042985	negative regulation of amyloid precursor protein biosynthetic process	ECO:0000314	IDA	PMID:21982160		9606	ARUK-UCL		P
RNAcentral	URS0000068B85_9606	Homo sapiens (human) hsa-miR-153-3p	involved_in	GO:1902430	negative regulation of amyloid-beta formation	ECO:0000314	IDA	PMID:22733824		9606	ARUK-UCL	has_output(UniProtKB:P05067:PRO_0000000093),occurs_in(UBERON:0000955)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	acts_upstream_of	GO:0002862	negative regulation of inflammatory response to antigenic stimulus	ECO:0000314	IDA	PMID:22105995		9606	ARUK-UCL	occurs_in(CL:0000214),occurs_in(UBERON:0007616),occurs_in(UBERON:0001485)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	acts_upstream_of	GO:0032715	negative regulation of interleukin-6 production	ECO:0000314	IDA	PMID:22105995		9606	ARUK-UCL	occurs_in(CL:0000214),occurs_in(UBERON:0007616),occurs_in(UBERON:0001485)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	acts_upstream_of	GO:0032715	negative regulation of interleukin-6 production	ECO:0000316	IGI	PMID:28078022	UniProtKB:O60603	9606	ARUK-UCL	occurs_in(CL:0000214),occurs_in(UBERON:0007616),occurs_in(UBERON:0001485)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	acts_upstream_of	GO:0050728	negative regulation of inflammatory response	ECO:0000316	IGI	PMID:28078022	UniProtKB:O60603	9606	ARUK-UCL	occurs_in(CL:0000214),occurs_in(UBERON:0007616),occurs_in(UBERON:0001485)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	acts_upstream_of	GO:1904465	negative regulation of matrix metallopeptidase secretion	ECO:0000314	IDA	PMID:22105995		9606	ARUK-UCL	regulates_transport_of(UniProtKB:P08254),occurs_in(CL:0000214),occurs_in(UBERON:0007616),occurs_in(UBERON:0001485)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	acts_upstream_of	GO:1904465	negative regulation of matrix metallopeptidase secretion	ECO:0000316	IGI	PMID:28078022	UniProtKB:O60603	9606	ARUK-UCL	occurs_in(CL:0000214),occurs_in(UBERON:0007616),occurs_in(UBERON:0001485),regulates_transport_of(UniProtKB:P08254)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	acts_upstream_of_or_within	GO:0010629	negative regulation of gene expression	ECO:0000316	IGI	PMID:25584808	UniProtKB:P04062	9606	ARUK-UCL	occurs_in(CL:0000057),has_input(UniProtKB:Q14108)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:21067317		9606	ARUK-UCL	has_input(UniProtKB:Q13562)|has_input(UniProtKB:P51608)|has_input(UniProtKB:Q8NFP9)|has_input(UniProtKB:Q15818)	F
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:21271217		9606	ARUK-UCL	has_input(UniProtKB:P01375)	F
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000315	IMP	PMID:22105995		9606	ARUK-UCL	has_input(UniProtKB:O60603)	F
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:24169826		9606	ARUK-UCL	has_input(UniProtKB:P20273)	F
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:26041742		9606	ARUK-UCL	has_input(UniProtKB:P01375)	F
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:26041742		9606	ARUK-UCL	has_input(UniProtKB:Q9NYK1)	F
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	enables	GO:1903231	mRNA base-pairing translational repressor activity	ECO:0000314	IDA	PMID:28078022		9606	ARUK-UCL	has_input(UniProtKB:O60603)	F
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	involved_in	GO:0034122	negative regulation of toll-like receptor signaling pathway	ECO:0000315	IMP	PMID:26041742		9606	ARUK-UCL	occurs_in(CL:0000499),occurs_in(UBERON:0002106)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:21067317		9606	ARUK-UCL	has_input(UniProtKB:Q13562)|has_input(UniProtKB:P51608)|has_input(UniProtKB:Q8NFP9)|has_input(UniProtKB:Q15818)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:21271217		9606	ARUK-UCL	has_input(UniProtKB:P01375)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000315	IMP	PMID:22105995		9606	ARUK-UCL	has_input(UniProtKB:O60603)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:24169826		9606	ARUK-UCL	has_input(UniProtKB:P20273),positively_regulates(GO:0050853)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:26017478		9606	ARUK-UCL	occurs_in(CL:2000001),has_input(UniProtKB:P20273),part_of(GO:0042113)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:26041742		9606	ARUK-UCL	has_input(UniProtKB:P01375),occurs_in(CL:0000499),occurs_in(UBERON:0002106)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:26041742		9606	ARUK-UCL	has_input(UniProtKB:Q9NYK1),occurs_in(CL:0000499),occurs_in(UBERON:0002106)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	involved_in	GO:0035195	miRNA-mediated gene silencing	ECO:0000314	IDA	PMID:28078022		9606	ARUK-UCL	has_input(UniProtKB:O60603)	P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	involved_in	GO:0042113	B cell activation	ECO:0000314	IDA	PMID:26017478		9606	ARUK-UCL		P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	involved_in	GO:0043066	negative regulation of apoptotic process	ECO:0000315	IMP	PMID:21271217		9606	ARUK-UCL		P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	involved_in	GO:0050861	positive regulation of B cell receptor signaling pathway	ECO:0000314	IDA	PMID:24169826		9606	ARUK-UCL		P
RNAcentral	URS000006FDD4_9606	Homo sapiens (human) hsa-miR-19a-3p	involved_in	GO:0050861	positive regulation of B cell receptor signaling pathway	ECO:0000314	IDA	PMID:26017478		9606	ARUK-UCL	occurs_in(CL:2000001),part_of(GO:0042113)	P
